File Name,Version,Size,Number of Smells,Churn,Max Churn,Avg Churn,Chg Set Size,Max Chg Set Size,Avg Chg Set Size,LOC Added,MAX LOC Added,AVG LOC Added,Number of Revisions,Number of Authors,Age in Weeks,Total Lines Touched,Weighted Age,Number of bugs
src/main/java/org/apache/tika/parser/rtf/RTFParser.java,0.2,55,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/test/java/org/apache/tika/TestParsers.java,0.2,223,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/test/java/org/apache/tika/parser/microsoft/PowerPointParserTest.java,0.2,50,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/main/java/org/apache/tika/parser/audio/MidiParser.java,0.2,78,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,No
src/main/java/org/apache/tika/parser/pkg/tar/TarBuffer.java,0.2,463,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/test/java/org/apache/tika/parser/microsoft/ExcelParserTest.java,0.2,54,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/test/java/org/apache/tika/parser/audio/MidiParserTest.java,0.2,44,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/parser/microsoft/Cell.java,0.2,38,0,0,0,0,71,71,71,38,38,38,0,0,77,76,1.013157895,No
src/test/java/org/apache/tika/mime/MediaTypeTest.java,0.2,111,0,0,0,0,71,71,71,111,111,111,0,0,30,222,0.135135135,No
src/main/java/org/apache/tika/utils/Utils.java,0.2,136,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/parser/mp3/Mp3Parser.java,0.2,296,0,0,0,0,71,71,71,296,296,296,0,0,11,592,0.018581081,No
src/main/java/org/apache/tika/parser/microsoft/NumberCell.java,0.2,46,0,0,0,0,71,71,71,46,46,46,0,0,77,92,0.836956522,No
src/main/java/org/apache/tika/parser/ParsingReader.java,0.2,219,2,0,0,0,71,71,71,219,219,219,0,0,25,438,0.057077626,No
src/main/java/org/apache/tika/sax/xpath/NodeMatcher.java,0.2,42,0,0,0,0,71,71,71,42,42,42,0,0,77,84,0.916666667,No
src/test/java/org/apache/tika/parser/microsoft/WordParserTest.java,0.2,48,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/test/java/org/apache/tika/parser/mp3/Mp3ParserTest.java,0.2,60,0,0,0,0,71,71,71,60,60,60,0,0,12,120,0.1,No
src/main/java/org/apache/tika/sax/ContentHandlerDecorator.java,0.2,101,2,0,0,0,0,0,0,0,0,0,0,0,59,0,0,No
src/main/java/org/apache/tika/parser/ParserDecorator.java,0.2,60,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/parser/microsoft/CellDecorator.java,0.2,37,0,0,0,0,71,71,71,37,37,37,0,0,77,74,1.040540541,No
src/main/java/org/apache/tika/sax/XHTMLToTextContentHandler.java,0.2,71,0,-71,0,-71,71,71,71,0,0,0,0,0,0,71,0,No
src/main/java/org/apache/tika/sax/xpath/ChildMatcher.java,0.2,35,2,0,0,0,71,71,71,35,35,35,0,0,77,70,1.1,No
src/main/java/org/apache/tika/parser/opendocument/OpenOfficeParser.java,0.2,76,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/test/java/org/apache/tika/mime/MimeTypesTest.java,0.2,145,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,No
src/main/java/org/apache/tika/mime/MimeTypes.java,0.2,360,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/sax/xpath/NamedAttributeMatcher.java,0.2,42,2,0,0,0,71,71,71,42,42,42,0,0,62,84,0.738095238,No
src/test/java/org/apache/tika/parser/pkg/TarParserTest.java,0.2,69,0,0,0,0,71,71,71,69,69,69,0,0,13,138,0.094202899,No
src/test/java/org/apache/tika/metadata/TestSpellCheckedMetadata.java,0.2,261,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/sax/xpath/AttributeMatcher.java,0.2,31,2,0,0,0,71,71,71,31,31,31,0,0,77,62,1.241935484,No
src/test/java/org/apache/tika/utils/RegexUtilsTest.java,0.2,79,0,0,0,0,71,71,71,79,79,79,0,0,49,158,0.310126582,No
src/main/java/org/apache/tika/parser/pkg/tar/TarInputStream.java,0.2,399,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/sax/ElementMappingContentHandler.java,0.2,146,0,-146,0,-146,71,71,71,0,0,0,0,0,0,146,0,No
src/main/java/org/apache/tika/parser/opendocument/NSNormalizerContentHandler.java,0.2,98,0,-98,0,-98,71,71,71,0,0,0,0,0,0,98,0,No
src/main/java/org/apache/tika/mime/MediaTypeRegistry.java,0.2,43,0,0,0,0,71,71,71,43,43,43,0,0,62,86,0.720930233,No
src/main/java/org/apache/tika/parser/EmptyParser.java,0.2,41,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/main/java/org/apache/tika/mime/Operator.java,0.2,69,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/parser/pkg/tar/TarUtils.java,0.2,208,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/parser/pkg/tar/TarEntry.java,0.2,640,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,No
src/main/java/org/apache/tika/parser/asm/XHTMLClassVisitor.java,0.2,302,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,No
src/test/java/org/apache/tika/TestRereadableInputStream.java,0.2,149,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,No
src/main/java/org/apache/tika/mime/Clause.java,0.2,71,2,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/main/java/org/apache/tika/metadata/TikaMetadataKeys.java,0.2,26,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/test/java/org/apache/tika/parser/audio/AudioParserTest.java,0.2,76,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,No
src/test/java/org/apache/tika/parser/asm/ClassParserTest.java,0.2,69,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,No
src/main/java/org/apache/tika/parser/CompositeParser.java,0.2,111,0,0,0,0,71,71,71,111,111,111,0,0,33,222,0.148648649,No
src/main/java/org/apache/tika/mime/Patterns.java,0.2,181,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,No
src/test/java/org/apache/tika/parser/pkg/Bzip2ParserTest.java,0.2,69,0,0,0,0,71,71,71,69,69,69,0,0,13,138,0.094202899,No
src/main/java/org/apache/tika/sax/xpath/Matcher.java,0.2,77,0,0,0,0,71,71,71,77,77,77,0,0,45,154,0.292207792,No
src/main/java/org/apache/tika/utils/RegexUtils.java,0.2,66,2,0,0,0,0,0,0,0,0,0,0,0,67,0,0,No
src/test/java/org/apache/tika/parser/txt/TXTParserTest.java,0.2,84,0,0,0,0,71,71,71,1,1,1,0,0,60,2,30,No
src/main/java/org/apache/tika/metadata/HttpHeaders.java,0.2,47,2,0,0,0,0,0,0,0,0,0,0,0,77,0,0,No
src/main/java/org/apache/tika/parser/pkg/PackageParser.java,0.2,105,2,0,0,0,71,71,71,105,105,105,0,0,67,210,0.319047619,No
src/main/java/org/apache/tika/parser/opendocument/OpenOfficeContentParser.java,0.2,271,2,-231,0,-231,71,71,71,40,40,40,0,0,77,311,0.247588424,No
